id,rank,name,ticker,price,price_1h,price_24h,price_7d,price_30d,price_90d,marketcap,dominance,diluted_cap,volume24h,volume24_dollar,volume24_token,volume24_mrkt_pct,circulating,circulating_w_missing,max_supply,pairs,tags,platform,date_added,age,update_date,update_time
7083,16,Uniswap,UNI,8.61,4.11,3.7,33.91,79.06,20.45,6413467221,0.592,8610932974,20.16,314572174,36535676,0.049,744805149,1000000000,1000000000,395,"['decentralized-exchange', 'defi', 'dao', 'yield-farming', 'amm', 'coinbase-ventures-portfolio', 'three-arrows-capital-portfolio', 'governance', 'blockchain-capital-portfolio', 'defiance-capital-portfolio', 'alameda-research-portfolio', 'a16z-portfolio', 'pantera-capital-portfolio', 'parafi-capital', 'paradigm-portfolio', 'arbitrum-ecosytem', 'injective-ecosystem', 'bnb-chain']",Ethereum,17/9/2020,23,2/8/2022,16:57:00
1958,17,TRON,TRX,0.069275768,0.57,0.34,7.17,8.4,-9.55,6402616775,0.592,6402618571,33.25,587411798,8479325696,0.092,92422169826,92422195753,0,663,"['media', 'payments', 'tron-ecosystem', 'bnb-chain']",,13/9/2017,59,2/8/2022,16:57:00
3717,18,Wrapped Bitcoin,WBTC,23331.26,1.45,0.54,11.81,21.99,-40.34,5525076772,0.51,5525076772,67.81,300774538,12891,0.054,236810,236810,0,487,"['medium-of-exchange', 'defi', 'wrapped-tokens', 'fantom-ecosystem', 'arbitrum-ecosytem', 'moonriver-ecosystem']",Ethereum,30/1/2019,43,2/8/2022,16:57:00
1321,19,Ethereum Classic,ETC,38.22,3.46,8.77,59.77,162.85,36.03,5202569556,0.481,8052264370,37.69,2441779153,63887471,0.469,136133310,210700000,210700000,323,"['mineable', 'pow', 'ethash', 'platform', 'smart-contracts', 'dcg-portfolio', 'bnb-chain']",,24/7/2016,73,2/8/2022,16:57:00
3957,20,UNUS SED LEO,LEO,5,0.14,-0.42,-0.29,-12.65,-10.69,4769153646,0.441,4925560281,8.52,3735088,747018,0.001,953954130,985239504,0,19,"['marketplace', 'centralized-exchange', 'discount-token', 'payments', 'kenetic-capital-portfolio', 'alameda-research-portfolio']",Ethereum,21/5/2019,39,2/8/2022,16:57:00
2,21,Litecoin,LTC,59.49,1.21,-0.12,13.3,19.56,-42.28,4215172774,0.389,4997109189,2.34,539266890,9064833,0.128,70855869,84000000,84000000,807,"['mineable', 'pow', 'scrypt', 'medium-of-exchange', 'binance-chain', 'bnb-chain']",,28/4/2013,112,2/8/2022,16:57:00
4195,22,FTX Token,FTT,30.17,2.11,-1.73,14.97,25.39,-22.05,4063506997,0.375,10623802309,42.8,108592314,3599347,0.027,134701802,330571139,352170015,134,"['marketplace', 'centralized-exchange', 'derivatives', 'cms-holdings-portfolio', 'kenetic-capital-portfolio', 'alameda-research-portfolio', 'pantera-capital-portfolio', 'exnetwork-capital-portfolio']",BNB,31/7/2019,37,2/8/2022,16:57:00
3635,23,Cronos,CRO,0.153867228,1.55,10.61,31.29,37.76,-49.22,3887149894,0.359,4656486036,628.86,180456779,1172808408,0.046,25263013692,30263013692,30263013692,139,"['medium-of-exchange', 'cosmos-ecosystem', 'centralized-exchange', 'mobile', 'payments']",Ethereum,14/12/2018,44,2/8/2022,16:57:00
1975,24,Chainlink,LINK,7.44,1.95,-3.14,19.78,21.98,-34.44,3491957802,0.323,7436026452,7.98,498888249,67054872,0.143,469599970,1000000000,1000000000,694,"['platform', 'defi', 'oracles', 'smart-contracts', 'substrate', 'polkadot', 'polkadot-ecosystem', 'avalanche-ecosystem', 'solana-ecosystem', 'framework-ventures-portfolio', 'polygon-ecosystem', 'fantom-ecosystem', 'cardano-ecosystem', 'web3', 'near-protocol-ecosystem', 'arbitrum-ecosytem', 'cardano', 'injective-ecosystem', 'bnb-chain']",Ethereum,20/9/2017,59,2/8/2022,16:57:00
6535,25,NEAR Protocol,NEAR,4.41,1.81,4.12,20.6,35.33,-63.51,3311522764,0.306,4412564572,-0.71,317006918,71883655,0.096,750475763,1000000000,1000000000,175,"['platform', 'staking', 'coinbase-ventures-portfolio', 'three-arrows-capital-portfolio', 'arrington-xrp-capital-portfolio', 'coinfund-portfolio', 'electric-capital-portfolio', 'fabric-ventures-portfolio', 'kenetic-capital-portfolio', 'near-protocol-ecosystem', 'injective-ecosystem', 'bnb-chain']",,11/8/2020,24,2/8/2022,16:57:00
512,26,Stellar,XLM,0.117617911,1.51,-1.47,13.73,9.25,-33.32,2960491530,0.274,5881108043,-5.21,173604474,1476003724,0.059,25170414222,50001787631,50001806812,442,"['medium-of-exchange', 'enterprise-solutions', 'decentralized-exchange', 'smart-contracts', 'hashkey-capital-portfolio']",,5/8/2014,96,2/8/2022,16:57:00
3794,27,Cosmos,ATOM,10.21,0.34,-0.6,10.9,25.49,-44.62,2923551686,0.27,0,-15.91,255496706,25024163,0.087,286370297,0,0,315,"['platform', 'cosmos-ecosystem', 'content-creation', 'interoperability', 'binance-chain', 'polychain-capital-portfolio', 'dragonfly-capital-portfolio', 'hashkey-capital-portfolio', '1confirmation-portfolio', 'paradigm-portfolio', 'exnetwork-capital-portfolio', 'injective-ecosystem', 'bnb-chain']",,14/3/2019,41,2/8/2022,16:57:00
328,28,Monero,XMR,159.32,0.34,0.39,9.94,37.01,-25.27,2892601642,0.267,2892601642,3.56,123802099,777066,0.043,18155727,18155727,0,183,"['mineable', 'pow', 'medium-of-exchange', 'privacy', 'ringct', 'boostvc-portfolio', 'electric-capital-portfolio', 'galaxy-digital-portfolio']",,21/5/2014,99,2/8/2022,16:57:00
1831,29,Bitcoin Cash,BCH,136.84,1.6,-0.75,17.96,32.99,-52.42,2618306873,0.242,2873585614,-9.97,323694529,2365496,0.124,19134438,19134438,21000000,624,"['mineable', 'pow', 'sha-256', 'marketplace', 'medium-of-exchange', 'store-of-value', 'enterprise-solutions', 'payments', 'binance-chain', 'bnb-chain']",,23/7/2017,61,2/8/2022,16:57:00
4030,30,Algorand,ALGO,0.333517712,1.74,-1.38,7.97,9.6,-49.51,2317672476,0.214,3335177123,-6.46,133671976,400794234,0.058,6949173585,7350412507,10000000000,237,"['pos', 'platform', 'research', 'smart-contracts', 'arrington-xrp-capital-portfolio', 'kenetic-capital-portfolio', 'usv-portfolio', 'multicoin-capital-portfolio', 'exnetwork-capital-portfolio']",,20/6/2019,38,2/8/2022,16:57:00
2280,31,Filecoin,FIL,8.76,6.85,-0.52,68.18,66.52,-41.01,2181733062,0.202,2181733062,-38.86,1128024145,128769880,0.517,249140429,249140429,0,227,"['mineable', 'distributed-computing', 'filesharing', 'storage', 'polychain-capital-portfolio', 'blockchain-capital-portfolio', 'boostvc-portfolio', 'dcg-portfolio', 'hashkey-capital-portfolio', 'a16z-portfolio', 'winklevoss-capital-portfolio', 'pantera-capital-portfolio', 'web3', 'bnb-chain']",,13/12/2017,56,2/8/2022,16:57:00
18876,32,ApeCoin,APE,6.9,2.46,1.4,22.08,51.3,-55.74,2118257646,0.196,6902672572,2.35,601515676,87176185,0.284,306875000,1000000000,1000000000,184,"['collectibles-nfts', 'content-creation', 'gaming', 'entertainment', 'dao', 'governance', 'metaverse', 'animoca-brands-portfolio']",Ethereum,17/3/2022,5,2/8/2022,16:57:00
8916,34,Internet Computer,ICP,8.13,4.31,-1.39,30.58,56.34,-39.27,2031499451,0.188,3951098396,-52.93,137143665,16868839,0.068,249741985,485727503,0,127,"['platform', 'distributed-computing', 'polychain-capital-portfolio', 'exnetwork-capital-portfolio']",,23/3/2021,17,2/8/2022,16:57:00
3077,33,VeChain,VET,0.028086473,2.3,2.4,23.42,27.02,-43.11,2036582365,0.188,2435452078,49.92,172656943,6147334426,0.085,72511146418,85985041177,86712634466,192,"['logistics', 'data-provenance', 'iot', 'smart-contracts', 'fenbushi-capital-portfolio']",,22/8/2017,60,2/8/2022,16:57:00
4558,35,Flow,FLOW,1.93,1.47,-4.61,23.22,26.5,-59.62,1996368736,0.184,2679468799,10.42,88417631,45812244,0.044,1036200000,1390757889,0,83,"['collectibles-nfts', 'coinbase-ventures-portfolio', 'coinfund-portfolio', 'dcg-portfolio', 'ledgerprime-portfolio', 'a16z-portfolio', 'animoca-brands-portfolio']",,27/1/2021,19,2/8/2022,16:57:00
1966,36,Decentraland,MANA,0.98750706,2.04,-1.93,15.81,19.7,-35.04,1829292144,0.169,2166176455,-12.23,256128197,259368472,0.14,1852434497,2193580727,0,288,"['platform', 'collectibles-nfts', 'gaming', 'payments', 'metaverse', 'boostvc-portfolio', 'dcg-portfolio', 'fabric-ventures-portfolio', 'kenetic-capital-portfolio', 'polygon-ecosystem', 'play-to-earn']",Ethereum,17/9/2017,59,2/8/2022,16:57:00
6210,37,The Sandbox,SAND,1.31,2.01,-0.17,13.21,27.37,-41.35,1680842591,0.155,3927019397,-0.11,359440350,274381947,0.214,1284059808,3000000000,3000000000,248,"['collectibles-nfts', 'content-creation', 'gaming', 'ethereum-ecosystem', 'binance-launchpad', 'metaverse', 'play-to-earn', 'animoca-brands-portfolio']",Ethereum,5/8/2020,24,2/8/2022,16:57:00
2011,38,Tezos,XTZ,1.77,2.06,-3.22,17.82,23.91,-30.84,1596282852,0.147,1634336291,4.2,61138718,34541649,0.038,903717737,925261268,0,223,"['pos', 'platform', 'enterprise-solutions', 'collectibles-nfts', 'defi', 'smart-contracts', 'polychain-capital-portfolio', 'boostvc-portfolio', 'winklevoss-capital-portfolio']",,6/10/2017,58,2/8/2022,16:57:00
4642,39,Hedera,HBAR,0.075305348,1.26,-1.92,17.79,21.93,-47.1,1587796429,0.147,3765267378,22.43,59160709,785610994,0.037,21084776584,50000000000,50000000000,107,"['dag', 'marketplace', 'enterprise-solutions', 'payments', 'dcg-portfolio']",,17/9/2019,35,2/8/2022,16:57:00
6783,40,Axie Infinity,AXS,17.6,1.5,-1.05,19.14,26.84,-40.57,1457211840,0.135,4751957897,-28.97,128870805,7322205,0.088,82796861,270000000,270000000,232,"['collectibles-nfts', 'gaming', 'binance-launchpad', 'metaverse', 'defiance-capital-portfolio', 'play-to-earn', 'animoca-brands-portfolio']",Ethereum,31/8/2020,24,2/8/2022,16:57:00
2416,41,Theta Network,THETA,1.42,2.12,2.69,21.44,17.74,-41.17,1419023791,0.131,1419023791,93.32,184647201,130033240,0.13,1000000000,1000000000,1000000000,120,"['media', 'collectibles-nfts', 'content-creation', 'defi', 'video', 'metaverse', 'huobi-capital-portfolio', 'web3']",,17/1/2018,55,2/8/2022,16:57:00
7278,42,Aave,AAVE,97.44,3.44,0.65,24.22,74.07,-33.19,1362128369,0.126,1559036901,-17.79,243534830,2499331,0.179,13979178,16000000,16000000,364,"['defi', 'dao', 'yield-farming', 'three-arrows-capital-portfolio', 'governance', 'lending-borowing', 'blockchain-capital-portfolio', 'defiance-capital-portfolio', 'framework-ventures-portfolio', 'alameda-research-portfolio', 'pantera-capital-portfolio', 'parafi-capital', 'polygon-ecosystem', 'fantom-ecosystem', 'bnb-chain']",Ethereum,2/10/2020,22,2/8/2022,16:57:00
6892,43,Elrond,EGLD,57.42,1.33,-0.62,14.54,14.34,-56.81,1317886211,0.122,1803987941,-27.41,65590984,1142302,0.05,22950606,23016298,31415926,113,"['binance-launchpad', 'binance-labs-portfolio', 'electric-capital-portfolio', 'exnetwork-capital-portfolio', 'elrond-ecosystem', 'injective-ecosystem', 'bnb-chain']",,4/9/2020,23,2/8/2022,16:57:00
3155,44,Quant,QNT,104.86,1.03,0.74,23.36,90.89,10.75,1265933941,0.117,1532249838,-4.74,57420064,547588,0.045,12072738,14612493,14612493,100,"['platform', 'interoperability']",Ethereum,10/8/2018,48,2/8/2022,16:57:00
1765,45,EOS,EOS,1.21,1.8,-7.15,12.56,31.43,-43.02,1209213832,0.112,1288055569,6.97,371489615,307016211,0.307,996062710,1061006819,0,469,"['medium-of-exchange', 'enterprise-solutions', 'smart-contracts', 'binance-chain', 'fenbushi-capital-portfolio', 'galaxy-digital-portfolio', 'bnb-chain']",,1/7/2017,61,2/8/2022,16:57:00
2563,46,TrueUSD,TUSD,1,0.01,0.08,0.04,-0.04,0.05,1190732691,0.11,1228399840,76.48,1089904610,1089904610,0.915,1190247222,1227899014,0,283,"['store-of-value', 'stablecoin', 'asset-backed-stablecoin', 'avalanche-ecosystem', 'arbitrum-ecosytem', 'bnb-chain', 'usd-stablecoin']",Ethereum,6/3/2018,53,2/8/2022,16:57:00
3602,47,Bitcoin SV,BSV,62.21,0.81,3.01,17.98,17.38,-16.36,1190144917,0.11,1306416677,48.67,78686188,1264848,0.066,19130989,19130989,21000000,175,"['mineable', 'pow', 'sha-256', 'medium-of-exchange', 'store-of-value', 'state-channel']",,9/11/2018,45,2/8/2022,16:57:00
5665,48,Helium,HNT,8.94,0.64,-0.27,4.99,-1.64,-41.99,1098904499,0.102,1993576482,-37.05,7372315,824644,0.007,122922650,223000000,223000000,54,"['mineable', 'enterprise-solutions', 'distributed-computing', 'iot', 'usv-portfolio', 'multicoin-capital-portfolio', 'web3']",,5/6/2020,26,2/8/2022,16:57:00
3897,49,OKB,OKB,18.27,2.12,1.5,21.36,50.01,-1.95,1096035103,0.101,5480175517,-26.8,14138489,773864,0.013,60000000,300000000,0,69,"['marketplace', 'centralized-exchange', 'discount-token', 'alameda-research-portfolio']",Ethereum,30/4/2019,40,2/8/2022,16:57:00
1518,50,Maker,MKR,1068.28,0.85,-1.2,23.69,20.23,-25.06,1044379963,0.097,1074233971,-40.42,183471239,171745,0.176,977631,977631,1005577,263,"['store-of-value', 'defi', 'dao', 'polychain-capital-portfolio', 'governance', 'lending-borowing', 'dragonfly-capital-portfolio', 'electric-capital-portfolio', 'a16z-portfolio', '1confirmation-portfolio', 'placeholder-ventures-portfolio', 'pantera-capital-portfolio', 'paradigm-portfolio', 'near-protocol-ecosystem', 'spartan-group', 'bnb-chain']",Ethereum,29/1/2017,67,2/8/2022,16:57:00
2087,51,KuCoin Token,KCS,10.12,1.41,0.59,6.92,22.93,-44,996049805,0.092,1722371169,15.61,3257567,321894,0.003,98379861,145879861,170118638,39,"['marketplace', 'centralized-exchange', 'discount-token', 'algorand-ecosystem']",,24/10/2017,58,2/8/2022,16:57:00
16086,52,BitTorrent-New,BTT,1.02E-06,1.15,4.32,19.52,26.96,-41.28,954320444,0.088,1007850005,-41.79,48466080,4.76091E+13,0.051,9.37419E+14,9.9E+14,0,76,"['platform', 'distributed-computing', 'filesharing', 'interoperability', 'staking', 'tron-ecosystem', 'storage', 'binance-launchpad', 'binance-labs-portfolio', 'web3', 'bnb-chain']",TRON,31/1/2019,43,2/8/2022,16:57:00
3330,53,Pax Dollar,USDP,1,-0.11,0.18,0.07,0.09,-0.13,946019898,0.087,946019898,93.45,7190317,7190317,0.008,945642940,945642940,0,65,"['store-of-value', 'stablecoin', 'asset-backed-stablecoin', 'bnb-chain', 'usd-stablecoin']",Ethereum,27/9/2018,47,2/8/2022,16:57:00
1437,54,Zcash,ZEC,62.53,0.73,-2.01,15.89,16.43,-49.13,935075365,0.086,1313039707,-20.99,65907037,1054007,0.07,14955056,14955056,21000000,260,"['mineable', 'pow', 'equihash', 'medium-of-exchange', 'privacy', 'zero-knowledge-proofs', 'binance-chain', 'boostvc-portfolio', 'dcg-portfolio', 'electric-capital-portfolio', 'fenbushi-capital-portfolio', 'hashkey-capital-portfolio', 'winklevoss-capital-portfolio', 'placeholder-ventures-portfolio', 'pantera-capital-portfolio', 'bnb-chain']",,29/10/2016,70,2/8/2022,16:57:00
1720,55,IOTA,MIOTA,0.325968881,1.94,-1.86,21.94,22.69,-37.31,906040376,0.084,906040376,-31.99,18964780,58179725,0.021,2779530283,2779530283,2779530283,78,"['dag', 'medium-of-exchange', 'iot', 'sharing-economy', 'bnb-chain']",,13/6/2017,62,2/8/2022,16:57:00
4157,56,THORChain,RUNE,2.64,3.33,2.42,17.35,45.25,-60.1,873238528,0.081,1320335734,-5.58,112769074,42715558,0.129,330688061,334937975,500000000,98,"['cosmos-ecosystem', 'decentralized-exchange', 'defi', 'multicoin-capital-portfolio', 'exnetwork-capital-portfolio']",BNB,23/7/2019,37,2/8/2022,16:57:00
4256,57,Klaytn,KLAY,0.292860725,0.69,-3.23,20.52,26.36,-58.16,867985626,0.08,3157711603,-16.43,87849052,299968704,0.101,2963817107,10782297981,0,116,"['platform', 'enterprise-solutions', 'injective-ecosystem']",,30/3/2020,29,2/8/2022,16:57:00
3513,58,Fantom,FTM,0.3393169,1.48,0.48,15.67,36.35,-56.71,863563639,0.08,1077331157,21.03,290196833,855238372,0.336,2545006273,2545006273,3175000000,348,"['platform', 'enterprise-solutions', 'defi', 'research', 'scaling', 'smart-contracts', 'fantom-ecosystem', 'injective-ecosystem', 'bnb-chain']",,29/10/2018,46,2/8/2022,16:57:00
6719,59,The Graph,GRT,0.123095494,2.43,-3.26,30.43,33.81,-61.49,849358910,0.079,1237976855,7.03,90926192,738663853,0.107,6900000000,10000000000,10057044431,223,"['ai-big-data', 'enterprise-solutions', 'defi', 'coinbase-ventures-portfolio', 'solana-ecosystem', 'analytics', 'coinfund-portfolio', 'dcg-portfolio', 'fabric-ventures-portfolio', 'framework-ventures-portfolio', 'ledgerprime-portfolio', 'multicoin-capital-portfolio', 'parafi-capital', 'polygon-ecosystem', 'fantom-ecosystem', 'web3', 'near-protocol-ecosystem', 'arbitrum-ecosytem', 'spartan-group', 'injective-ecosystem', 'bnb-chain']",Ethereum,17/12/2020,20,2/8/2022,16:57:00
4066,60,Chiliz,CHZ,0.141099784,2.46,-4.67,40.44,43.56,-23.36,846653376,0.078,1254220298,9.33,537621067,3810218936,0.635,6000387493,8888888888,8888888888,257,"['sports', 'collectibles-nfts', 'content-creation', 'payments']",Ethereum,1/7/2019,37,2/8/2022,16:57:00
10791,61,eCash,XEC,4.38E-05,1.49,-2.29,14.55,15.18,-40.92,837894755,0.077,919748919,6.7,13873754,3.1677E+11,0.017,1.91311E+13,1.88997E+13,2.1E+13,51,[],,8/7/2021,13,2/8/2022,16:57:00
1376,62,Neo,NEO,11.17,2.19,-0.9,24.69,36.57,-39.42,787659877,0.073,1116633017,-11.25,70115920,6277164,0.089,70538831,100000000,100000000,248,"['platform', 'enterprise-solutions', 'smart-contracts']",,8/9/2016,71,2/8/2022,16:57:00
8000,63,Lido DAO,LDO,2.39,4.03,10.85,80.73,405.04,-16.62,749462635,0.069,2394823042,54.37,131642195,55080416,0.176,312951154,1000000000,1000000000,83,"['defi', 'dao', 'three-arrows-capital-portfolio', 'paradigm-portfolio']",Ethereum,15/12/2020,20,2/8/2022,16:57:00
19891,64,USDD,USDD,0.999984104,-0.02,0.08,0.01,0.9,-0.29,725320513,0.067,725320513,55.55,76108020,76109230,0.105,725332044,725332044,0,69,"['stablecoin', 'algorithmic-stablecoin', 'usd-stablecoin']",Ethereum,2/5/2022,3,2/8/2022,16:55:00
5068,65,Neutrino USD,USDN,0.990494168,0.09,-0.17,0.13,0.47,1.05,722263504,0.067,722264102,-2.34,4504127,4547353,0.006,729195111,729195715,0,59,"['defi', 'stablecoin', 'algorithmic-stablecoin', 'bnb-chain', 'usd-stablecoin']",Ethereum,30/1/2020,31,2/8/2022,16:57:00
6538,66,Curve DAO Token,CRV,1.37,2.78,4.1,21.02,75.83,-43.27,716554897,0.066,4539033248,18.37,226513823,165338557,0.316,521433179,1796304932,3303030299,305,"['decentralized-exchange', 'defi', 'dao', 'yield-farming', 'amm', 'governance', 'framework-ventures-portfolio', 'alameda-research-portfolio', 'polygon-ecosystem', 'fantom-ecosystem', 'arbitrum-ecosytem']",Ethereum,14/8/2020,24,2/8/2022,16:57:00
